Date	Kind of Business	NAICS  Code	Number of Records	Value
8/1/1996 	Food services and drinking places	722	1	21792
8/1/1996 	Full service restaurants	7221	1	9513
8/1/1996 	 Limited service eating places	7222	1	9451
8/1/1996 	Drinking places	7224	1	1137
9/1/1996 	 Retail and food services sales total		1	209250
9/1/1996 	GAFO(1)		1	53061
9/1/1996 	Retail sales and food services excl motor vehicle and parts		1	158129
9/1/1996 	Retail sales total		1	189424
9/1/1996 	Retail sales total (excl. motor vehicle and parts dealers)		1	138303
9/1/1996 	Motor vehicle and parts dealers	441	1	51121
9/1/1996 	Automobile dealers	4411	1	44473
9/1/1996 	Automobile and other motor vehicle dealers	44114412	1	46624
9/1/1996 	New car dealers	44111	1	41252
9/1/1996 	Used car dealers	44112	1	3221
9/1/1996 	Automotive parts acc. and tire stores	4413	1	4497
9/1/1996 	Furniture and home furnishings stores	442	1	5589
9/1/1996 	Furniture home furn electronics and appliance stores	442443	1	11092
9/1/1996 	Furniture stores	4421	1	3232
9/1/1996 	Home furnishings stores	4422	1	2357
9/1/1996 	Floor covering stores	44221	1	1244
9/1/1996 	All other home furnishings stores	442299	1	
9/1/1996 	Electronics and appliance stores	443	1	5503
9/1/1996 	Appl.TV and other elect. stores	44311	1	3330
9/1/1996 	Household appliance stores	443111	1	817
9/1/1996 	 Radio T.V. and other elect. stores	443112	1	2513
9/1/1996 	 Computer and software stores	44312	1	1998
9/1/1996 	Building mat. and garden equip. and supplies dealers	444	1	14901
9/1/1996 	Building mat. and supplies dealers	4441	1	12970
9/1/1996 	Paint and wallpaper stores	44412	1	
9/1/1996 	 Hardware stores	44413	1	1079
9/1/1996 	Food and beverage stores	445	1	32214
9/1/1996 	Grocery stores	4451	1	29495
9/1/1996 	Supermarkets and other grocery (except convenience) stores	44511	1	
9/1/1996 	Beer wine and liquor stores	4453	1	1781
9/1/1996 	Health and personal care stores	446	1	8611
9/1/1996 	Pharmacies and drug stores	44611	1	7208
9/1/1996 	Gasoline stations	447	1	15975
9/1/1996 	Clothing and clothing access. stores	448	1	10623
9/1/1996 	Clothing stores	4481	1	7495
9/1/1996 	 Men's clothing stores	44811	1	744
9/1/1996 	Women's clothing stores	44812	1	2276
9/1/1996 	Family clothing stores	44814	1	3333
9/1/1996 	Other clothing stores	44819	1	
9/1/1996 	Shoe stores	4482	1	1676
9/1/1996 	Jewelry stores	44831	1	1323
9/1/1996 	Sporting goods hobby book and music stores	451	1	4767
9/1/1996 	 Sporting goods stores	45111	1	1594
9/1/1996 	 Hobby toy and game stores	45112	1	870
9/1/1996 	Book stores	451211	1	1040
9/1/1996 	General merchandise stores	452	1	24163
9/1/1996 	Department stores (excl.L.D)	4521	1	16092
9/1/1996 	Department stores (incl. L.D.)(2)	4521	1	16445
9/1/1996 	Department stores(excl. discount department stores)	452111	1	7092
9/1/1996 	Department stores(excl. discount department stores)	452111	1	7300
9/1/1996 	Discount dept. stores	452112	1	9000
9/1/1996 	Discount dept. stores	452112	1	9145
9/1/1996 	Other general merchandise stores	4529	1	8071
9/1/1996 	Warehouse clubs and superstores	45291	1	5808
9/1/1996 	All other gen. merchandise stores	45299	1	2263
9/1/1996 	Miscellaneous store retailers	453	1	6729
9/1/1996 	Office supplies stationery and gift stores	4532	1	2416
9/1/1996 	Office supplies and stationery stores	45321	1	1314
9/1/1996 	Gift novelty and souvenir stores	45322	1	1102
9/1/1996 	Used merchandise stores	4533	1	588
9/1/1996 	Nonstore retailers	454	1	9228
9/1/1996 	Electronic shopping and mail-order houses	4541	1	4875
9/1/1996 	Fuel dealers	45431	1	1447
9/1/1996 	Food services and drinking places	722	1	19826
9/1/1996 	Full service restaurants	7221	1	8642
9/1/1996 	 Limited service eating places	7222	1	8519
9/1/1996 	Drinking places	7224	1	1053
10/1/1996 	 Retail and food services sales total		1	222663
10/1/1996 	GAFO(1)		1	56556
10/1/1996 	Retail sales and food services excl motor vehicle and parts		1	168434
10/1/1996 	Retail sales total		1	201927
10/1/1996 	Retail sales total (excl. motor vehicle and parts dealers)		1	147698
10/1/1996 	Motor vehicle and parts dealers	441	1	54229
10/1/1996 	Automobile dealers	4411	1	46980
10/1/1996 	Automobile and other motor vehicle dealers	44114412	1	49156
10/1/1996 	New car dealers	44111	1	43454
10/1/1996 	Used car dealers	44112	1	3526
10/1/1996 	Automotive parts acc. and tire stores	4413	1	5073
10/1/1996 	Furniture and home furnishings stores	442	1	5970
10/1/1996 	Furniture home furn electronics and appliance stores	442443	1	11615
10/1/1996 	Furniture stores	4421	1	3344
10/1/1996 	Home furnishings stores	4422	1	2626
10/1/1996 	Floor covering stores	44221	1	1371
10/1/1996 	All other home furnishings stores	442299	1	
10/1/1996 	Electronics and appliance stores	443	1	5645
10/1/1996 	Appl.TV and other elect. stores	44311	1	3419
10/1/1996 	Household appliance stores	443111	1	856
10/1/1996 	 Radio T.V. and other elect. stores	443112	1	2563
10/1/1996 	 Computer and software stores	44312	1	2044
10/1/1996 	Building mat. and garden equip. and supplies dealers	444	1	16190
10/1/1996 	Building mat. and supplies dealers	4441	1	14060
10/1/1996 	Paint and wallpaper stores	44412	1	
10/1/1996 	 Hardware stores	44413	1	1183
10/1/1996 	Food and beverage stores	445	1	33524
10/1/1996 	Grocery stores	4451	1	30674
10/1/1996 	Supermarkets and other grocery (except convenience) stores	44511	1	
10/1/1996 	Beer wine and liquor stores	4453	1	1860
10/1/1996 	Health and personal care stores	446	1	9288
10/1/1996 	Pharmacies and drug stores	44611	1	7811
10/1/1996 	Gasoline stations	447	1	16671
10/1/1996 	Clothing and clothing access. stores	448	1	11250
10/1/1996 	Clothing stores	4481	1	8024
10/1/1996 	 Men's clothing stores	44811	1	793
10/1/1996 	Women's clothing stores	44812	1	2413
10/1/1996 	Family clothing stores	44814	1	3659
10/1/1996 	Other clothing stores	44819	1	
10/1/1996 	Shoe stores	4482	1	1657
10/1/1996 	Jewelry stores	44831	1	1451
10/1/1996 	Sporting goods hobby book and music stores	451	1	4769
10/1/1996 	 Sporting goods stores	45111	1	1453
10/1/1996 	 Hobby toy and game stores	45112	1	1094
10/1/1996 	Book stores	451211	1	899
10/1/1996 	General merchandise stores	452	1	26366
10/1/1996 	Department stores (excl.L.D)	4521	1	17462
10/1/1996 	Department stores (incl. L.D.)(2)	4521	1	17847
10/1/1996 	Department stores(excl. discount department stores)	452111	1	7615
10/1/1996 	Department stores(excl. discount department stores)	452111	1	7842
10/1/1996 	Discount dept. stores	452112	1	9847
10/1/1996 	Discount dept. stores	452112	1	10005
10/1/1996 	Other general merchandise stores	4529	1	8904
10/1/1996 	Warehouse clubs and superstores	45291	1	6371
10/1/1996 	All other gen. merchandise stores	45299	1	2533
10/1/1996 	Miscellaneous store retailers	453	1	7017
10/1/1996 	Office supplies stationery and gift stores	4532	1	2556
10/1/1996 	Office supplies and stationery stores	45321	1	1332
10/1/1996 	Gift novelty and souvenir stores	45322	1	1224
10/1/1996 	Used merchandise stores	4533	1	631
10/1/1996 	Nonstore retailers	454	1	11008
10/1/1996 	Electronic shopping and mail-order houses	4541	1	5816
10/1/1996 	Fuel dealers	45431	1	1853
10/1/1996 	Food services and drinking places	722	1	20736
10/1/1996 	Full service restaurants	7221	1	8998
10/1/1996 	 Limited service eating places	7222	1	8942
10/1/1996 	Drinking places	7224	1	1100
11/1/1996 	 Retail and food services sales total		1	223953
11/1/1996 	GAFO(1)		1	65498
11/1/1996 	Retail sales and food services excl motor vehicle and parts		1	175816
11/1/1996 	Retail sales total		1	203621
11/1/1996 	Retail sales total (excl. motor vehicle and parts dealers)		1	155484
11/1/1996 	Motor vehicle and parts dealers	441	1	48137
11/1/1996 	Automobile dealers	4411	1	41746
11/1/1996 	Automobile and other motor vehicle dealers	44114412	1	43541
11/1/1996 	New car dealers	44111	1	38484
11/1/1996 	Used car dealers	44112	1	3262
11/1/1996 	Automotive parts acc. and tire stores	4413	1	4596
11/1/1996 	Furniture and home furnishings stores	442	1	6425
11/1/1996 	Furniture home furn electronics and appliance stores	442443	1	12546
11/1/1996 	Furniture stores	4421	1	3619
11/1/1996 	Home furnishings stores	4422	1	2806
11/1/1996 	Floor covering stores	44221	1	1292
11/1/1996 	All other home furnishings stores	442299	1	
11/1/1996 	Electronics and appliance stores	443	1	6121
11/1/1996 	Appl.TV and other elect. stores	44311	1	4131
11/1/1996 	Household appliance stores	443111	1	944
11/1/1996 	 Radio T.V. and other elect. stores	443112	1	3187
11/1/1996 	 Computer and software stores	44312	1	1809
11/1/1996 	Building mat. and garden equip. and supplies dealers	444	1	14430
11/1/1996 	Building mat. and supplies dealers	4441	1	12549
11/1/1996 	Paint and wallpaper stores	44412	1	
11/1/1996 	 Hardware stores	44413	1	1172
11/1/1996 	Food and beverage stores	445	1	34045
11/1/1996 	Grocery stores	4451	1	31014
11/1/1996 	Supermarkets and other grocery (except convenience) stores	44511	1	
11/1/1996 	Beer wine and liquor stores	4453	1	1992
11/1/1996 	Health and personal care stores	446	1	9132
11/1/1996 	Pharmacies and drug stores	44611	1	7699
11/1/1996 	Gasoline stations	447	1	16237
11/1/1996 	Clothing and clothing access. stores	448	1	12875
11/1/1996 	Clothing stores	4481	1	9114
11/1/1996 	 Men's clothing stores	44811	1	919
11/1/1996 	Women's clothing stores	44812	1	2594
11/1/1996 	Family clothing stores	44814	1	4339
11/1/1996 	Other clothing stores	44819	1	
11/1/1996 	Shoe stores	4482	1	1778
11/1/1996 	Jewelry stores	44831	1	1830
11/1/1996 	Sporting goods hobby book and music stores	451	1	6015
11/1/1996 	 Sporting goods stores	45111	1	1608
11/1/1996 	 Hobby toy and game stores	45112	1	2002
11/1/1996 	Book stores	451211	1	908
11/1/1996 	General merchandise stores	452	1	31144
11/1/1996 	Department stores (excl.L.D)	4521	1	21389
11/1/1996 	Department stores (incl. L.D.)(2)	4521	1	21878
11/1/1996 	Department stores(excl. discount department stores)	452111	1	9591
11/1/1996 	Department stores(excl. discount department stores)	452111	1	9886
11/1/1996 	Discount dept. stores	452112	1	11798
11/1/1996 	Discount dept. stores	452112	1	11992
11/1/1996 	Other general merchandise stores	4529	1	9755
11/1/1996 	Warehouse clubs and superstores	45291	1	6993
11/1/1996 	All other gen. merchandise stores	45299	1	2762
11/1/1996 	Miscellaneous store retailers	453	1	7036
11/1/1996 	Office supplies stationery and gift stores	4532	1	2918
11/1/1996 	Office supplies and stationery stores	45321	1	1337
11/1/1996 	Gift novelty and souvenir stores	45322	1	1581
11/1/1996 	Used merchandise stores	4533	1	630
11/1/1996 	Nonstore retailers	454	1	12024
11/1/1996 	Electronic shopping and mail-order houses	4541	1	6676
11/1/1996 	Fuel dealers	45431	1	2053
11/1/1996 	Food services and drinking places	722	1	20332
11/1/1996 	Full service restaurants	7221	1	8972
11/1/1996 	 Limited service eating places	7222	1	8611
11/1/1996 	Drinking places	7224	1	1101
12/1/1996 	 Retail and food services sales total		1	258080
12/1/1996 	GAFO(1)		1	94583
12/1/1996 	Retail sales and food services excl motor vehicle and parts		1	211842
12/1/1996 	Retail sales total		1	237477
12/1/1996 	Retail sales total (excl. motor vehicle and parts dealers)		1	191239
12/1/1996 	Motor vehicle and parts dealers	441	1	46238
12/1/1996 	Automobile dealers	4411	1	40109
12/1/1996 	Automobile and other motor vehicle dealers	44114412	1	41820
12/1/1996 	New car dealers	44111	1	37103
12/1/1996 	Used car dealers	44112	1	3006
12/1/1996 	Automotive parts acc. and tire stores	4413	1	4418
12/1/1996 	Furniture and home furnishings stores	442	1	6734
12/1/1996 	Furniture home furn electronics and appliance stores	442443	1	15094
12/1/1996 	Furniture stores	4421	1	3649
12/1/1996 	Home furnishings stores	4422	1	3085
12/1/1996 	Floor covering stores	44221	1	1249
12/1/1996 	All other home furnishings stores	442299	1	
12/1/1996 	Electronics and appliance stores	443	1	8360
12/1/1996 	Appl.TV and other elect. stores	44311	1	5782
12/1/1996 	Household appliance stores	443111	1	1100
12/1/1996 	 Radio T.V. and other elect. stores	443112	1	4682
12/1/1996 	 Computer and software stores	44312	1	2252
12/1/1996 	Building mat. and garden equip. and supplies dealers	444	1	13521
12/1/1996 	Building mat. and supplies dealers	4441	1	11481
12/1/1996 	Paint and wallpaper stores	44412	1	
12/1/1996 	 Hardware stores	44413	1	1224
12/1/1996 	Food and beverage stores	445	1	36460
12/1/1996 	Grocery stores	4451	1	32454
12/1/1996 	Supermarkets and other grocery (except convenience) stores	44511	1	
12/1/1996 	Beer wine and liquor stores	4453	1	2547
12/1/1996 	Health and personal care stores	446	1	11301
12/1/1996 	Pharmacies and drug stores	44611	1	9701
12/1/1996 	Gasoline stations	447	1	16575
12/1/1996 	Clothing and clothing access. stores	448	1	19944
12/1/1996 	Clothing stores	4481	1	13008
12/1/1996 	 Men's clothing stores	44811	1	1420
12/1/1996 	Women's clothing stores	44812	1	3665
12/1/1996 	Family clothing stores	44814	1	6197
12/1/1996 	Other clothing stores	44819	1	
12/1/1996 	Shoe stores	4482	1	2232
12/1/1996 	Jewelry stores	44831	1	4464
12/1/1996 	Sporting goods hobby book and music stores	451	1	10601
12/1/1996 	 Sporting goods stores	45111	1	2675
12/1/1996 	 Hobby toy and game stores	45112	1	4073
12/1/1996 	Book stores	451211	1	1599
12/1/1996 	General merchandise stores	452	1	44464
12/1/1996 	Department stores (excl.L.D)	4521	1	31619
12/1/1996 	Department stores (incl. L.D.)(2)	4521	1	32246
12/1/1996 	Department stores(excl. discount department stores)	452111	1	15184
12/1/1996 	Department stores(excl. discount department stores)	452111	1	15555
12/1/1996 	Discount dept. stores	452112	1	16435
12/1/1996 	Discount dept. stores	452112	1	16691
12/1/1996 	Other general merchandise stores	4529	1	12845
12/1/1996 	Warehouse clubs and superstores	45291	1	9019
12/1/1996 	All other gen. merchandise stores	45299	1	3826
12/1/1996 	Miscellaneous store retailers	453	1	9379
12/1/1996 	Office supplies stationery and gift stores	4532	1	4480
12/1/1996 	Office supplies and stationery stores	45321	1	1594
12/1/1996 	Gift novelty and souvenir stores	45322	1	2886
12/1/1996 	Used merchandise stores	4533	1	705
12/1/1996 	Nonstore retailers	454	1	13900
12/1/1996 	Electronic shopping and mail-order houses	4541	1	7854
12/1/1996 	Fuel dealers	45431	1	2650
12/1/1996 	Food services and drinking places	722	1	20603
12/1/1996 	Full service restaurants	7221	1	8888
12/1/1996 	 Limited service eating places	7222	1	8925
12/1/1996 	Drinking places	7224	1	1116
1/1/1997 	 Retail and food services sales total		1	200389
1/1/1997 	GAFO(1)		1	47409
1/1/1997 	Retail sales and food services excl motor vehicle and parts		1	151994
1/1/1997 	Retail sales total		1	181073
1/1/1997 	Retail sales total (excl. motor vehicle and parts dealers)		1	132678
1/1/1997 	Motor vehicle and parts dealers	441	1	48395
1/1/1997 	Automobile dealers	4411	1	42327
1/1/1997 	Automobile and other motor vehicle dealers	44114412	1	44005
1/1/1997 	New car dealers	44111	1	38950
1/1/1997 	Used car dealers	44112	1	3377
1/1/1997 	Automotive parts acc. and tire stores	4413	1	4390
1/1/1997 	Furniture and home furnishings stores	442	1	5311
1/1/1997 	Furniture home furn electronics and appliance stores	442443	1	10601
1/1/1997 	Furniture stores	4421	1	3233
1/1/1997 	Home furnishings stores	4422	1	2078
1/1/1997 	Floor covering stores	44221	1	1162
1/1/1997 	All other home furnishings stores	442299	1	
1/1/1997 	Electronics and appliance stores	443	1	5290
1/1/1997 	Appl.TV and other elect. stores	44311	1	3265
1/1/1997 	Household appliance stores	443111	1	778
1/1/1997 	 Radio T.V. and other elect. stores	443112	1	2487
1/1/1997 	 Computer and software stores	44312	1	1869
1/1/1997 	Building mat. and garden equip. and supplies dealers	444	1	12505
1/1/1997 	Building mat. and supplies dealers	4441	1	10767
1/1/1997 	Paint and wallpaper stores	44412	1	
1/1/1997 	 Hardware stores	44413	1	997
1/1/1997 	Food and beverage stores	445	1	33175
1/1/1997 	Grocery stores	4451	1	30534
1/1/1997 	Supermarkets and other grocery (except convenience) stores	44511	1	
1/1/1997 	Beer wine and liquor stores	4453	1	1706
1/1/1997 	Health and personal care stores	446	1	9306
1/1/1997 	Pharmacies and drug stores	44611	1	7889
1/1/1997 	Gasoline stations	447	1	15956
1/1/1997 	Clothing and clothing access. stores	448	1	8194
1/1/1997 	Clothing stores	4481	1	5785
1/1/1997 	 Men's clothing stores	44811	1	697
1/1/1997 	Women's clothing stores	44812	1	1699
1/1/1997 	Family clothing stores	44814	1	2487
1/1/1997 	Other clothing stores	44819	1	
1/1/1997 	Shoe stores	4482	1	1279
1/1/1997 	Jewelry stores	44831	1	1034
1/1/1997 	Sporting goods hobby book and music stores	451	1	4830
1/1/1997 	 Sporting goods stores	45111	1	1337
1/1/1997 	 Hobby toy and game stores	45112	1	730
1/1/1997 	Book stores	451211	1	1558
1/1/1997 	General merchandise stores	452	1	21164
1/1/1997 	Department stores (excl.L.D)	4521	1	13463
1/1/1997 	Department stores (incl. L.D.)(2)	4521	1	13741
1/1/1997 	Department stores(excl. discount department stores)	452111	1	5528
1/1/1997 	Department stores(excl. discount department stores)	452111	1	5699
1/1/1997 	Discount dept. stores	452112	1	7935
1/1/1997 	Discount dept. stores	452112	1	8042
1/1/1997 	Other general merchandise stores	4529	1	7701
1/1/1997 	Warehouse clubs and superstores	45291	1	5696
1/1/1997 	All other gen. merchandise stores	45299	1	2005
1/1/1997 	Miscellaneous store retailers	453	1	6415
1/1/1997 	Office supplies stationery and gift stores	4532	1	2620
1/1/1997 	Office supplies and stationery stores	45321	1	1686
1/1/1997 	Gift novelty and souvenir stores	45322	1	934
1/1/1997 	Used merchandise stores	4533	1	621
1/1/1997 	Nonstore retailers	454	1	10532
1/1/1997 	Electronic shopping and mail-order houses	4541	1	5042
1/1/1997 	Fuel dealers	45431	1	3016
1/1/1997 	Food services and drinking places	722	1	19316
1/1/1997 	Full service restaurants	7221	1	8658
1/1/1997 	 Limited service eating places	7222	1	8060
1/1/1997 	Drinking places	7224	1	1051
2/1/1997 	 Retail and food services sales total		1	197556
2/1/1997 	GAFO(1)		1	47286
2/1/1997 	Retail sales and food services excl motor vehicle and parts		1	147430
2/1/1997 	Retail sales total		1	178428
2/1/1997 	Retail sales total (excl. motor vehicle and parts dealers)		1	128302
2/1/1997 	Motor vehicle and parts dealers	441	1	50126
2/1/1997 	Automobile dealers	4411	1	43870
2/1/1997 	Automobile and other motor vehicle dealers	44114412	1	45910
2/1/1997 	New car dealers	44111	1	40036
2/1/1997 	Used car dealers	44112	1	3834
2/1/1997 	Automotive parts acc. and tire stores	4413	1	4216
2/1/1997 	Furniture and home furnishings stores	442	1	5116
2/1/1997 	Furniture home furn electronics and appliance stores	442443	1	10146
2/1/1997 	Furniture stores	4421	1	3114
2/1/1997 	Home furnishings stores	4422	1	2002
2/1/1997 	Floor covering stores	44221	1	1127
2/1/1997 	All other home furnishings stores	442299	1	
2/1/1997 	Electronics and appliance stores	443	1	5030
2/1/1997 	Appl.TV and other elect. stores	44311	1	3098
2/1/1997 	Household appliance stores	443111	1	724
2/1/1997 	 Radio T.V. and other elect. stores	443112	1	2374
2/1/1997 	 Computer and software stores	44312	1	1782
2/1/1997 	Building mat. and garden equip. and supplies dealers	444	1	12534
2/1/1997 	Building mat. and supplies dealers	4441	1	10740
2/1/1997 	Paint and wallpaper stores	44412	1	
2/1/1997 	 Hardware stores	44413	1	875
2/1/1997 	Food and beverage stores	445	1	30538
2/1/1997 	Grocery stores	4451	1	27985
2/1/1997 	Supermarkets and other grocery (except convenience) stores	44511	1	
2/1/1997 	Beer wine and liquor stores	4453	1	1621
2/1/1997 	Health and personal care stores	446	1	9022
2/1/1997 	Pharmacies and drug stores	44611	1	7615
2/1/1997 	Gasoline stations	447	1	14912
2/1/1997 	Clothing and clothing access. stores	448	1	8835
2/1/1997 	Clothing stores	4481	1	5902
2/1/1997 	 Men's clothing stores	44811	1	633
2/1/1997 	Women's clothing stores	44812	1	1813
2/1/1997 	Family clothing stores	44814	1	2542
2/1/1997 	Other clothing stores	44819	1	
2/1/1997 	Shoe stores	4482	1	1429
2/1/1997 	Jewelry stores	44831	1	1400
2/1/1997 	Sporting goods hobby book and music stores	451	1	4113
2/1/1997 	 Sporting goods stores	45111	1	1331
2/1/1997 	 Hobby toy and game stores	45112	1	791
2/1/1997 	Book stores	451211	1	825
2/1/1997 	General merchandise stores	452	1	21560
2/1/1997 	Department stores (excl.L.D)	4521	1	14077
2/1/1997 	Department stores (incl. L.D.)(2)	4521	1	14370
2/1/1997 	Department stores(excl. discount department stores)	452111	1	5880
2/1/1997 	Department stores(excl. discount department stores)	452111	1	6059
2/1/1997 	Discount dept. stores	452112	1	8197
2/1/1997 	Discount dept. stores	452112	1	8311
2/1/1997 	Other general merchandise stores	4529	1	7483
2/1/1997 	Warehouse clubs and superstores	45291	1	5434
2/1/1997 	All other gen. merchandise stores	45299	1	2049
2/1/1997 	Miscellaneous store retailers	453	1	6829
2/1/1997 	Office supplies stationery and gift stores	4532	1	2632
2/1/1997 	Office supplies and stationery stores	45321	1	1448
2/1/1997 	Gift novelty and souvenir stores	45322	1	1184
2/1/1997 	Used merchandise stores	4533	1	687
2/1/1997 	Nonstore retailers	454	1	9813
2/1/1997 	Electronic shopping and mail-order houses	4541	1	4577
2/1/1997 	Fuel dealers	45431	1	2311
2/1/1997 	Food services and drinking places	722	1	19128
2/1/1997 	Full service restaurants	7221	1	8610
2/1/1997 	 Limited service eating places	7222	1	8015
2/1/1997 	Drinking places	7224	1	1000
3/1/1997 	 Retail and food services sales total		1	225133
3/1/1997 	GAFO(1)		1	55045
3/1/1997 	Retail sales and food services excl motor vehicle and parts		1	167468
3/1/1997 	Retail sales total		1	203750
3/1/1997 	Retail sales total (excl. motor vehicle and parts dealers)		1	146085
3/1/1997 	Motor vehicle and parts dealers	441	1	57665
3/1/1997 	Automobile dealers	4411	1	50056
3/1/1997 	Automobile and other motor vehicle dealers	44114412	1	52878
3/1/1997 	New car dealers	44111	1	45967
3/1/1997 	Used car dealers	44112	1	4089
3/1/1997 	Automotive parts acc. and tire stores	4413	1	4787
3/1/1997 	Furniture and home furnishings stores	442	1	5715
3/1/1997 	Furniture home furn electronics and appliance stores	442443	1	11193
3/1/1997 	Furniture stores	4421	1	3368
3/1/1997 	Home furnishings stores	4422	1	2347
3/1/1997 	Floor covering stores	44221	1	1298
3/1/1997 	All other home furnishings stores	442299	1	
3/1/1997 	Electronics and appliance stores	443	1	5478
3/1/1997 	Appl.TV and other elect. stores	44311	1	3240
3/1/1997 	Household appliance stores	443111	1	809
3/1/1997 	 Radio T.V. and other elect. stores	443112	1	2431
3/1/1997 	 Computer and software stores	44312	1	2071
3/1/1997 	Building mat. and garden equip. and supplies dealers	444	1	15084
3/1/1997 	Building mat. and supplies dealers	4441	1	12563
3/1/1997 	Paint and wallpaper stores	44412	1	
3/1/1997 	 Hardware stores	44413	1	1020
3/1/1997 	Food and beverage stores	445	1	34446
3/1/1997 	Grocery stores	4451	1	31513
3/1/1997 	Supermarkets and other grocery (except convenience) stores	44511	1	
3/1/1997 	Beer wine and liquor stores	4453	1	1853
3/1/1997 	Health and personal care stores	446	1	9962
3/1/1997 	Pharmacies and drug stores	44611	1	8330
3/1/1997 	Gasoline stations	447	1	16562
3/1/1997 	Clothing and clothing access. stores	448	1	10840
3/1/1997 	Clothing stores	4481	1	7640
3/1/1997 	 Men's clothing stores	44811	1	746
3/1/1997 	Women's clothing stores	44812	1	2353
3/1/1997 	Family clothing stores	44814	1	3396
3/1/1997 	Other clothing stores	44819	1	
3/1/1997 	Shoe stores	4482	1	1902
3/1/1997 	Jewelry stores	44831	1	1175
3/1/1997 	Sporting goods hobby book and music stores	451	1	4735
3/1/1997 	 Sporting goods stores	45111	1	1609
3/1/1997 	 Hobby toy and game stores	45112	1	1032
3/1/1997 	Book stores	451211	1	813
3/1/1997 	General merchandise stores	452	1	25681
3/1/1997 	Department stores (excl.L.D)	4521	1	17084
3/1/1997 	Department stores (incl. L.D.)(2)	4521	1	17451
3/1/1997 	Department stores(excl. discount department stores)	452111	1	7143
3/1/1997 	Department stores(excl. discount department stores)	452111	1	7372
3/1/1997 	Discount dept. stores	452112	1	9941
3/1/1997 	Discount dept. stores	452112	1	10079
3/1/1997 	Other general merchandise stores	4529	1	8597
3/1/1997 	Warehouse clubs and superstores	45291	1	6243
3/1/1997 	All other gen. merchandise stores	45299	1	2354
3/1/1997 	Miscellaneous store retailers	453	1	6975
3/1/1997 	Office supplies stationery and gift stores	4532	1	2596
3/1/1997 	Office supplies and stationery stores	45321	1	1394
3/1/1997 	Gift novelty and souvenir stores	45322	1	1202
3/1/1997 	Used merchandise stores	4533	1	620
3/1/1997 	Nonstore retailers	454	1	10607
3/1/1997 	Electronic shopping and mail-order houses	4541	1	5594
3/1/1997 	Fuel dealers	45431	1	1996
3/1/1997 	Food services and drinking places	722	1	21383
3/1/1997 	Full service restaurants	7221	1	9559
3/1/1997 	 Limited service eating places	7222	1	9068
3/1/1997 	Drinking places	7224	1	1102
4/1/1997 	 Retail and food services sales total		1	220329
4/1/1997 	GAFO(1)		1	52639
4/1/1997 	Retail sales and food services excl motor vehicle and parts		1	164024
4/1/1997 	Retail sales total		1	199219
4/1/1997 	Retail sales total (excl. motor vehicle and parts dealers)		1	142914
4/1/1997 	Motor vehicle and parts dealers	441	1	56305
4/1/1997 	Automobile dealers	4411	1	48221
4/1/1997 	Automobile and other motor vehicle dealers	44114412	1	51308
4/1/1997 	New car dealers	44111	1	44106
4/1/1997 	Used car dealers	44112	1	4115
4/1/1997 	Automotive parts acc. and tire stores	4413	1	4997
4/1/1997 	Furniture and home furnishings stores	442	1	5670
4/1/1997 	Furniture home furn electronics and appliance stores	442443	1	10921
4/1/1997 	Furniture stores	4421	1	3250
4/1/1997 	Home furnishings stores	4422	1	2420
4/1/1997 	Floor covering stores	44221	1	1345
4/1/1997 	All other home furnishings stores	442299	1	
4/1/1997 	Electronics and appliance stores	443	1	5251
4/1/1997 	Appl.TV and other elect. stores	44311	1	3087
4/1/1997 	Household appliance stores	443111	1	792
4/1/1997 	 Radio T.V. and other elect. stores	443112	1	2295
4/1/1997 	 Computer and software stores	44312	1	1995
4/1/1997 	Building mat. and garden equip. and supplies dealers	444	1	17183
4/1/1997 	Building mat. and supplies dealers	4441	1	14083
4/1/1997 	Paint and wallpaper stores	44412	1	
4/1/1997 	 Hardware stores	44413	1	1196
4/1/1997 	Food and beverage stores	445	1	32637
4/1/1997 	Grocery stores	4451	1	29853
4/1/1997 	Supermarkets and other grocery (except convenience) stores	44511	1	
4/1/1997 	Beer wine and liquor stores	4453	1	1817
4/1/1997 	Health and personal care stores	446	1	9482
4/1/1997 	Pharmacies and drug stores	44611	1	7885
4/1/1997 	Gasoline stations	447	1	16364
4/1/1997 	Clothing and clothing access. stores	448	1	10131
4/1/1997 	Clothing stores	4481	1	7110
4/1/1997 	 Men's clothing stores	44811	1	716
4/1/1997 	Women's clothing stores	44812	1	2227
4/1/1997 	Family clothing stores	44814	1	3144
4/1/1997 	Other clothing stores	44819	1	
4/1/1997 	Shoe stores	4482	1	1663
4/1/1997 	Jewelry stores	44831	1	1258
4/1/1997 	Sporting goods hobby book and music stores	451	1	4607
4/1/1997 	 Sporting goods stores	45111	1	1726
4/1/1997 	 Hobby toy and game stores	45112	1	896
4/1/1997 	Book stores	451211	1	806
4/1/1997 	General merchandise stores	452	1	24490
4/1/1997 	Department stores (excl.L.D)	4521	1	16180
4/1/1997 	Department stores (incl. L.D.)(2)	4521	1	16538
4/1/1997 	Department stores(excl. discount department stores)	452111	1	6714
4/1/1997 	Department stores(excl. discount department stores)	452111	1	6937
4/1/1997 	Discount dept. stores	452112	1	9466
4/1/1997 	Discount dept. stores	452112	1	9601
4/1/1997 	Other general merchandise stores	4529	1	8310
